,Gade,Kommune,Postnr
76,Arildsgård,København,2700
77,Arkaderne,København,2700
78,Arkonagade,København,1726
79,Armeniensvej,København,2300
80,Arne Jacobsens Allé,København,2300
81,Arnestedet,København,2720
82,Arnesvej,København,2700
83,Arni Magnussons Gade,København,1577
84,Arresøgade,København,2200
85,Arsenalvej,København,1436
86,Artillerivej,København,2300
87,Asger Holms Vej,København,
88,Asger Rygs Gade,København,1727
89,Asger Jorns Allé,København,2300
90,Asiatisk Plads,København,1402
91,Askøgade,København,2100
92,Asminderødgade,København,2200
93,Asnæsgade,København,2200
94,Assensgade,København,2100
95,Asta Nielsen Strædet,København,2500
96,Astersvej,København,2700
97,Astrid Lindgrens Plads,København,
98,Astrupvej,København,2700
99,Asylgade,København,1064
100,Athensvej,København,2300
101,August Bournonvilles Passage,København,1055
102,Augustagade,København,2300
103,August Wimmers Vej,København,2500
104,Australiensvej,København,2100
105,A-Vej,København,2300
106,Axel Heides Gade,København,2300
107,Axel Strøbyes Vej,København,2500
108,Axeltorv,København,1609
109,Azaleagangen,København,2300
110,Backersvej,København,2300
111,Badensgade,København,2300
112,Badstuestræde,København,1209
113,Bag Elefanterne,København,1799
114,Bagerstræde,København,1617
115,Baggesensgade,København,2200
116,Bag Rådhuset,København,1550
117,Bag Søndermarken,København,2000
118,Bakkekammen,København,2700
119,Bakkeledet,København,
120,Bakkevej,København,2400
121,Baldersgade,København,2200
122,Balders Plads,København,2200
123,Ballumgade,København,1753
124,Baltikavej,København,2150
125,Bandholmvej,København,2500
126,Banebrinken,København,2400
127,Banefløjen,København,2700
128,Banefløjstien,København,
129,Banegårdspladsen,København,1570
130,Banevingen,København,2200
131,Banevolden,København,2500
132,Bangertsgade,København,2200
133,Bangsbo Plads,København,2720
134,Bangsbovej,København,2720
135,Bardenflethsgade,København,2300
136,Søflygade,København,1432
137,Bartholinsgade,København,1356
138,Basnæsvej,København,2700
139,Bastionvej,København,2300
140,Bavnagervej,København,
141,Bavnehøj Allé,København,2450
142,Bavnevangen,København,2700
143,Beatevej,København,2500
144,Bechgaardsgade,København,2100
145,Bedfordvej,København,2300
146,Beethovensvej,København,2450
147,Bekkersgård Vænge,København,2500
148,Beldringevej,København,2700
149,Belfastvej,København,2300
150,Belgiensgade,København,2300
151,Bellahøjvej,København,2700
152,Belle de Boskoopvej,København,2500
153,Bellidavej,København,2500
154,Bellisvej,København,2720
155,Bellmansgade,København,2100
156,Bellmans Plads,København,2100
157,Belvederekaj,København,2450
158,Bergensgade,København,2100
159,Berggreensgade,København,2100
160,Bergthorasgade,København,2300
161,Bernstorffsgade,København,1577
162,Bertel Thorvaldsens Plads,København,1213
163,Bertha Von Suttners Vej,København,2450
164,Bevtoftgade,København,1736
165,A.F. Beyers Vej,København,2720
166,Biens Allé,København,2300
167,Billedvej,København,2150
168,Billesborgvej,København,2720
169,Birkagervej,København,2720
170,Birkebakken,København,2500
171,Birkedommervej,København,2400
172,Birkegade,København,2200
173,Birketinget,København,2300
174,Birkholmvej,København,2720
175,Birmavej,København,2300
176,Bisiddervej,København,2400
177,Biskop Krags Vænge,København,2100
178,Bispebjerg Bakke,København,2400
179,Bispebjerg Parkallé,København,2400
180,Bispebjerg Torv,København,2400
181,Bispebjergvej,København,2400
182,Bispeengbuen,København,
183,Bispeparken,København,2400
184,Bispetorvet,København,1167
185,Bispevej,København,2400
186,Bissensgade,København,1773
187,Bjelkes Allé,København,2200
188,Bjergmarksvej,København,2700
189,Bjergstedvej,København,2700
190,Bjergvænget,København,2400
191,Bjernedevej,København,2700
192,Bjerregårds Sidevej,København,2500
193,Bjerregårdsvej,København,2500
194,Bjørneklovej,København,2300
195,Bjørnsonsvej,København,2500
196,Blankavej,København,2500
197,Blegdamsvej,København,2200
198,Blekingegade,København,2300
199,Blommehaven,København,2500
200,Blommestien,København,2500
201,Blushøjvej,København,2450
202,Blytækkervej,København,2400
203,Blåbærvej,København,2400
204,Blågårdsgade,København,2200
205,Blågårds Plads,København,2200
206,Blåmejsevej,København,2400
207,Blåmunkevej,København,2400
208,Bobakken,København,2720
209,Bodenhoffs Plads,København,1430
210,Bodil Ipsens Vej,København,2500
211,Bodilsgade,København,1732
212,Boeslundevej,København,2700
213,Bogensegade,København,2100
214,Bogenæsvej,København,2700
215,Bogfinkevej,København,2400
216,Bogholder Allé,København,2720
217,Bogtrykkervej,København,2400
218,Bohlendachvej,København,1437
219,Bolandsvej,København,2100
220,Boldhusgade,København,1062
221,Boltonvej,København,2300
222,Bomhusvej,København,2100
223,Bomsluttervej,København,2400
224,Bomstien,København,
225,Bomuldsgade,København,2500
226,Bopa Plads,København,
227,Bordeauxgade,København,2150
