" ","2019",105604,19866,1218,2158,1298,2946,1494,13597,7408,1232,1713,3200,2538,935,8773,2616,1124,2944,2645,3630,1747,5195,1696,914,3799,3887,3265,8890,1063,5,2530,2535,1642,7117,1305,955,1432,2473,1133,589,2428,746,1350,2152,1390,737,1305,1197,1487,724,246,1658,797,1009,14053,2083,183,711,3925,180,1760,1581,4511,2917,793,1134,1048,5919,1685,2706,1085,3579,698,1091,3130,129,4706,4734,1868,38655,2660,1797,1184,457,1403,1040,500,4132,1072,1188,1583,997,29,1234,343,1718,1117,767,16180
"H80 Ph.d. og forskeruddannelser"
" ","2019",8791,1716,84,143,90,395,102,1489,982,97,205,270,248,78,1224,244,75,377,334,374,165,758,152,73,286,408,292,1109,68,0,166,170,191,806,84,60,52,164,85,37,148,44,114,115,99,68,78,91,122,59,18,96,70,105,1427,98,12,48,222,7,109,54,207,194,39,78,45,307,92,303,55,189,40,86,213,6,277,404,145,4084,137,60,80,36,56,47,26,355,58,48,87,50,0,65,23,153,38,43,1342
"H90 Uoplyst mv."
" ","2019",15082,1869,82,389,508,460,540,893,1088,251,300,713,703,421,766,444,197,127,224,492,369,365,342,314,571,407,161,673,324,1,388,510,170,736,120,326,536,594,431,463,804,297,341,792,239,202,424,347,407,200,131,267,249,290,2931,470,50,263,1364,24,461,523,1126,868,448,389,375,1139,697,306,330,1647,349,175,810,36,568,321,331,4787,922,392,421,169,559,404,174,1066,281,566,615,338,19,362,175,199,407,381,3296

"Befolkningen mellem 15 og 69 år er opgjort pr. 1. jan. det pågældende "
"år. Den højst fuldførte uddannelse er opgjort pr. 1. okt. året før. "
"For dokumentation af tabellerne se: "
"http://dst.dk/ext/uddannelse/Uddannelsestabeller. Uddannelserne "
"grupperes efter Disced-15. Læs mere på "
"www.dst.dk/da/Statistik/dokumentation/nomenklaturer/disced-15--hovedo-"
"mraade--fuldfoerte-uddannelser. "

